news_date,source,headline,predicted_category,priority,urea_increase,urea_decrease,urea_volatility,dap_increase,dap_decrease,dap_volatility,mop_increase,mop_decrease,mop_volatility
2026-01-27,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,35,0.5500,0.1500,0.3000,0.5000,0.2000,0.3000,0.4500,0.2000,0.3500
2026-01-31,Интерфакс,Введены ограничения на экспорт калия — рынок ждёт дефицита,Калий,85,0.1000,0.1500,0.7500,0.1000,0.1500,0.7500,0.7000,0.2000,0.1000
2026-01-31,Bloomberg,Стабилизация рубля снижает экспортные премии,Макро/валюта,40,0.1000,0.5000,0.4000,0.1000,0.5000,0.4000,0.1000,0.5000,0.4000
2026-02-06,Bloomberg,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,80,0.1000,0.1000,0.8000,0.1000,0.6500,0.2500,0.1000,0.1000,0.8000
2026-02-07,Интерфакс,"Ставки фрахта снижаются, логистика дешевеет",Логистика,70,0.1000,0.5000,0.4000,0.1000,0.5000,0.4000,0.1000,0.5000,0.4000
2026-02-14,CRU,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,100,0.2000,0.3500,0.4500,0.1000,0.7500,0.1500,0.2000,0.3000,0.5000
2026-02-17,Коммерсантъ,Экспортные котировки аммиака выросли вслед за газом,Аммиак,75,0.3500,0.1500,0.5000,0.2500,0.1500,0.6000,0.2000,0.1000,0.7000
2026-02-20,Bloomberg,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,80,0.1000,0.3000,0.6000,0.0500,0.8500,0.1000,0.1000,0.2500,0.6500
2026-02-27,Профильный телеграм-канал,Опубликован годовой ESG-отчёт компании,Прочее,0,0.1000,0.1500,0.7500,0.1000,0.1500,0.7500,0.1000,0.1500,0.7500
2026-03-09,Bloomberg,Производитель открыл обновлённый учебный центр,Прочее,0,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000
2026-03-11,Интерфакс,Новые контракты по калию заключены ниже рынка,Калий,85,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.1000,0.6000,0.3000
2026-03-18,Argus,Производитель открыл обновлённый учебный центр,Прочее,0,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000
2026-03-30,Reuters,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,50,0.2500,0.4500,0.3000,0.2000,0.5000,0.3000,0.1500,0.5500,0.3000
2026-04-10,Reuters,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,75,0.2000,0.2000,0.6000,0.1500,0.2000,0.6500,0.8000,0.1500,0.0500
2026-04-20,Bloomberg,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,90,0.2500,0.5000,0.2500,0.2000,0.5500,0.2500,0.2000,0.5000,0.3000
2026-05-07,Reuters,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,75,0.2000,0.5000,0.3000,0.2000,0.5000,0.3000,0.2500,0.4000,0.3500
2026-05-13,ICIS,Фермеры откладывают закупки удобрений,Спрос/агрорынок,40,0.2500,0.3500,0.4000,0.2000,0.4000,0.4000,0.2000,0.3500,0.4500
2026-05-15,Профильный телеграм-канал,Рубль резко ослаб к доллару,Макро/валюта,80,0.1000,0.7000,0.2000,0.1000,0.6500,0.2500,0.1000,0.6500,0.2500
2026-05-16,Интерфакс,Экспортные котировки аммиака выросли вслед за газом,Аммиак,85,0.8500,0.0500,0.1000,0.6000,0.1500,0.2500,0.1500,0.1000,0.7500
2026-05-29,Коммерсантъ,Назначен новый директор по устойчивому развитию,Прочее,0,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000
2026-06-12,ICIS,Подписан меморандум о научном сотрудничестве с вузом,Прочее,0,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000
2026-06-25,Bloomberg,Запущена корпоративная программа стажировок,Прочее,0,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000
2026-07-01,Интерфакс,Фосфатное сырьё дорожает вслед за серой,Фосфаты,75,0.2000,0.3000,0.5000,0.7000,0.1000,0.2000,0.1500,0.3500,0.5000
2020-01-08,Интерфакс,Опубликован годовой ESG-отчёт компании,Прочее,0,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000
2020-01-10,CRU,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,70,0.1500,0.1500,0.7000,0.0500,0.7000,0.2500,0.2000,0.2000,0.6000
2020-01-18,Профильный телеграм-канал,"Ставки фрахта снижаются, логистика дешевеет",Логистика,50,0.1000,0.7000,0.2000,0.1000,0.7000,0.2000,0.1000,0.7000,0.2000
2020-03-12,ICIS,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,70,0.1500,0.3500,0.5000,0.2000,0.3000,0.5000,0.1500,0.2500,0.6000
2020-03-14,CRU,Компания провела ежегодный день инвестора,Прочее,0,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000
2020-03-18,CRU,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,70,0.6000,0.1000,0.3000,0.5500,0.1500,0.3000,0.5500,0.1500,0.3000
2020-03-20,Argus,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,80,0.1500,0.2500,0.6000,0.0500,0.8500,0.1000,0.2000,0.3000,0.5000
2020-04-04,Bloomberg,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,75,0.3000,0.2000,0.5000,0.3500,0.2000,0.4500,0.4000,0.1500,0.4500
2020-04-06,Argus,Компания провела ежегодный день инвестора,Прочее,10,0.3000,0.2000,0.5000,0.3000,0.2000,0.5000,0.3000,0.2000,0.5000
2020-04-08,CRU,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,70,0.5000,0.1000,0.4000,0.5000,0.1000,0.4000,0.5000,0.1000,0.4000
2020-04-17,Коммерсантъ,Производители аммиака объявили о сокращении мощностей,Аммиак,80,0.6000,0.1000,0.3000,0.5500,0.1000,0.3500,0.2000,0.2000,0.6000
2020-04-18,CRU,Дефицит калия на ключевых рынках толкает цены вверх,Калий,80,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.7000,0.1000,0.2000
2020-05-13,Bloomberg,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,0,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000
2020-05-21,Коммерсантъ,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,95,0.2000,0.1000,0.7000,0.1000,0.1000,0.8000,0.8500,0.0500,0.1000
2020-05-27,ICIS,"Ставки фрахта снижаются, логистика дешевеет",Логистика,45,0.1000,0.6000,0.3000,0.1500,0.5500,0.3000,0.2000,0.4000,0.4000
2020-06-04,Bloomberg,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,65,0.8500,0.0500,0.1000,0.8000,0.1000,0.1000,0.7500,0.1000,0.1500
2020-06-04,Профильный телеграм-канал,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,85,0.4000,0.2000,0.4000,0.5000,0.1000,0.4000,0.3000,0.3000,0.4000
2020-06-13,Профильный телеграм-канал,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,75,0.3500,0.1500,0.5000,0.3000,0.2000,0.5000,0.3000,0.2000,0.5000
2020-06-25,Argus,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,90,0.2500,0.2500,0.5000,0.2500,0.2500,0.5000,0.7000,0.1000,0.2000
2020-06-26,Argus,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,60,0.2000,0.3000,0.5000,0.1000,0.7000,0.2000,0.2000,0.3000,0.5000
2020-07-01,ICIS,Опубликован годовой ESG-отчёт компании,Прочее,10,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000
2020-07-10,CRU,Производители аммиака объявили о сокращении мощностей,Аммиак,85,0.6000,0.1000,0.3000,0.5000,0.1500,0.3500,0.3500,0.2000,0.4500
2020-07-18,CRU,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,75,0.1500,0.1500,0.7000,0.1500,0.1500,0.7000,0.0500,0.8500,0.1000
2020-07-21,ICIS,"Ставки фрахта снижаются, логистика дешевеет",Логистика,80,0.7000,0.1000,0.2000,0.7000,0.1000,0.2000,0.6500,0.0500,0.3000
2020-08-12,Argus,Дефицит калия на ключевых рынках толкает цены вверх,Калий,90,0.2500,0.2500,0.5000,0.2500,0.2500,0.5000,0.7000,0.1000,0.2000
2020-08-17,Интерфакс,Локдауны бьют по логистике и спросу на удобрения,Логистика,60,0.1000,0.6000,0.3000,0.1000,0.6000,0.3000,0.1000,0.6000,0.3000
2020-08-24,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,Аммиак,75,0.6000,0.2000,0.2000,0.5000,0.3000,0.2000,0.3000,0.4000,0.3000
2020-08-26,Reuters,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,85,0.2000,0.3000,0.5000,0.1000,0.8000,0.1000,0.1500,0.3500,0.5000
2020-10-30,CRU,Подписан меморандум о научном сотрудничестве с вузом,Прочее,5,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000
2020-11-06,ICIS,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,80,0.3500,0.2500,0.4000,0.6500,0.0500,0.3000,0.3000,0.3000,0.4000
2020-11-23,CRU,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,85,0.0500,0.1500,0.8000,0.1000,0.2000,0.7000,0.1000,0.7000,0.2000
2020-11-24,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,75,0.1500,0.2500,0.6000,0.1000,0.7000,0.2000,0.2000,0.3000,0.5000
2020-11-27,Коммерсантъ,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,85,0.5500,0.1000,0.3500,0.5500,0.1000,0.3500,0.5500,0.1000,0.3500
2020-12-10,Bloomberg,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,70,0.6500,0.1000,0.2500,0.5500,0.1500,0.3000,0.4500,0.2000,0.3500
2020-12-24,Bloomberg,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,90,0.1500,0.2500,0.6000,0.1000,0.3000,0.6000,0.7000,0.1000,0.2000
2021-01-15,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,70,0.1000,0.3500,0.5500,0.1500,0.2000,0.6500,0.0500,0.2500,0.7000
2021-01-15,Reuters,Фосфатное сырьё дорожает вслед за серой,Фосфаты,70,0.3500,0.2500,0.4000,0.5500,0.1500,0.3000,0.3000,0.2000,0.5000
2021-01-21,ICIS,Введены ограничения на экспорт калия — рынок ждёт дефицита,Калий,95,0.4000,0.2000,0.4000,0.3000,0.2000,0.5000,0.7000,0.1000,0.2000
2021-02-01,ICIS,Стабилизация рубля снижает экспортные премии,Макро/валюта,60,0.2000,0.5000,0.3000,0.2000,0.4000,0.4000,0.2000,0.3000,0.5000
2021-02-04,ICIS,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,65,0.3000,0.3000,0.4000,0.7000,0.1000,0.2000,0.2000,0.3000,0.5000
2021-02-15,CRU,Новые контракты по калию заключены ниже рынка,Калий,90,0.3000,0.2500,0.4500,0.3500,0.3000,0.3500,0.2000,0.5500,0.2500
2021-02-19,Коммерсантъ,Логистические издержки растут — дорожает доставка удобрений,Логистика,50,0.5000,0.2000,0.3000,0.5000,0.2000,0.3000,0.5000,0.2000,0.3000
2021-03-12,Коммерсантъ,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",Энергоносители,75,0.1000,0.7500,0.1500,0.2000,0.6000,0.2000,0.3000,0.4000,0.3000
2021-03-17,Bloomberg,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,70,0.6000,0.1500,0.2500,0.7000,0.1000,0.2000,0.6500,0.1000,0.2500
2021-03-23,Интерфакс,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,0,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000
2021-03-25,Bloomberg,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,85,0.1500,0.1500,0.7000,0.0500,0.7500,0.2000,0.2000,0.2000,0.6000
2021-03-30,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,75,0.0000,0.0000,1.0000,0.0500,0.8000,0.1500,0.0000,0.0000,1.0000
2021-04-13,Профильный телеграм-канал,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,Энергоносители,70,0.6000,0.1000,0.3000,0.3000,0.3000,0.4000,0.3000,0.3000,0.4000
2021-04-14,Argus,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,85,0.2000,0.3000,0.5000,0.2000,0.3000,0.5000,0.0500,0.8000,0.1500
2021-04-20,Профильный телеграм-канал,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,75,0.4000,0.2000,0.4000,0.3500,0.2500,0.4000,0.3000,0.2000,0.5000
2021-04-26,Argus,Падение цен на зерно ослабляет спрос на удобрения,Спрос/агрорынок,75,0.2000,0.5000,0.3000,0.2500,0.4500,0.3000,0.2500,0.4000,0.3500
2021-04-30,ICIS,Дефицит калия на ключевых рынках толкает цены вверх,Калий,85,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.6500,0.0500,0.3000
2021-05-03,Интерфакс,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,95,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000,0.7000,0.1000,0.2000
2021-05-03,Интерфакс,Компания провела ежегодный день инвестора,Прочее,0,0.3000,0.2000,0.5000,0.3000,0.2000,0.5000,0.3000,0.2000,0.5000
2021-05-04,Интерфакс,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,Энергоносители,80,0.5500,0.1500,0.3000,0.2000,0.2500,0.5500,0.1500,0.3000,0.5500
2021-05-15,Коммерсантъ,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,75,0.5000,0.2000,0.3000,0.5000,0.2000,0.3000,0.5000,0.2000,0.3000
2021-05-22,Интерфакс,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,80,0.1500,0.3500,0.5000,0.2000,0.3000,0.5000,0.1000,0.7500,0.1500
2021-05-22,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,85,0.1000,0.5000,0.4000,0.1500,0.5500,0.3000,0.1000,0.6000,0.3000
2021-05-24,Argus,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,90,0.1000,0.1000,0.8000,0.1500,0.1500,0.7000,0.7000,0.0500,0.2500
2021-05-24,Bloomberg,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,60,0.2000,0.5000,0.3000,0.2000,0.4000,0.4000,0.3000,0.4000,0.3000
2021-05-24,Argus,Назначен новый директор по устойчивому развитию,Прочее,0,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000
2021-06-01,Bloomberg,Компания провела ежегодный день инвестора,Прочее,0,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000
2021-06-16,Bloomberg,Фосфатное сырьё дорожает вслед за серой,Фосфаты,80,0.2000,0.2000,0.6000,0.6000,0.1000,0.3000,0.3000,0.2000,0.5000
2021-06-18,Коммерсантъ,Введены ограничения на экспорт калия — рынок ждёт дефицита,Калий,95,0.3000,0.3000,0.4000,0.4000,0.2500,0.3500,0.7500,0.1000,0.1500
2021-07-02,CRU,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",Аммиак,80,0.6000,0.0500,0.3500,0.5000,0.1000,0.4000,0.2000,0.1000,0.7000
2021-07-28,Интерфакс,Фермеры откладывают закупки удобрений,Спрос/агрорынок,40,0.2000,0.5000,0.3000,0.1500,0.6000,0.2500,0.2000,0.5500,0.2500
2021-07-31,Интерфакс,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,Энергоносители,75,0.6000,0.1500,0.2500,0.2500,0.3000,0.4500,0.2500,0.3000,0.4500
2021-08-07,Argus,"Ставки фрахта снижаются, логистика дешевеет",Логистика,60,0.0500,0.8500,0.1000,0.0500,0.8000,0.1500,0.0500,0.7500,0.2000
2021-08-11,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,80,0.0500,0.2000,0.7500,0.1000,0.7000,0.2000,0.1000,0.2000,0.7000
2021-08-14,Коммерсантъ,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,75,0.1000,0.6000,0.3000,0.1500,0.5500,0.3000,0.2000,0.2000,0.6000
2021-08-23,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,85,0.2000,0.3000,0.5000,0.1000,0.7000,0.2000,0.2500,0.2500,0.5000
2021-08-27,Интерфакс,Логистические издержки растут — дорожает доставка удобрений,Логистика,70,0.6000,0.1000,0.3000,0.6000,0.1000,0.3000,0.6000,0.1000,0.3000
2021-09-10,Коммерсантъ,Фермеры откладывают закупки удобрений,Спрос/агрорынок,55,0.1000,0.6000,0.3000,0.1000,0.5500,0.3500,0.1000,0.4500,0.4500
2021-09-16,ICIS,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,80,0.3500,0.1500,0.5000,0.0500,0.5500,0.4000,0.2500,0.2500,0.5000
2021-09-18,Reuters,Падение цен на зерно ослабляет спрос на удобрения,Спрос/агрорынок,70,0.2000,0.7000,0.1000,0.1500,0.7500,0.1000,0.2500,0.6000,0.1500
2021-09-21,ICIS,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,70,0.7000,0.1000,0.2000,0.7000,0.1000,0.2000,0.6000,0.1500,0.2500
2021-09-24,Интерфакс,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,85,0.1500,0.2000,0.6500,0.1000,0.6500,0.2500,0.2000,0.1500,0.6500
2021-09-24,CRU,Фермеры откладывают закупки удобрений,Спрос/агрорынок,90,0.2000,0.5000,0.3000,0.1500,0.5500,0.3000,0.1500,0.5000,0.3500
2021-09-29,CRU,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,70,0.5000,0.2000,0.3000,0.4000,0.2000,0.4000,0.3500,0.2000,0.4500
2021-10-05,Коммерсантъ,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,70,0.5000,0.3000,0.2000,0.5000,0.3000,0.2000,0.5000,0.3000,0.2000
2021-10-07,Интерфакс,Цены на газ в Европе подскочили до многомесячных максимумов,Энергоносители,75,0.6500,0.1500,0.2000,0.5500,0.2000,0.2500,0.3000,0.3000,0.4000
2021-10-11,Профильный телеграм-канал,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,70,0.2000,0.3000,0.5000,0.2000,0.3000,0.5000,0.1500,0.3500,0.5000
2021-10-18,Профильный телеграм-канал,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,65,0.2000,0.2500,0.5500,0.1000,0.7000,0.2000,0.2000,0.3000,0.5000
2021-11-01,ICIS,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,90,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000,0.7000,0.1000,0.2000
2021-11-12,Argus,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,75,0.3000,0.3000,0.4000,0.7000,0.1000,0.2000,0.3000,0.3000,0.4000
2021-11-15,CRU,"Ставки фрахта снижаются, логистика дешевеет",Логистика,70,0.0500,0.4500,0.5000,0.1000,0.4000,0.5000,0.1000,0.3500,0.5500
2021-11-18,Интерфакс,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,80,0.2000,0.2000,0.6000,0.7000,0.1000,0.2000,0.1500,0.2500,0.6000
2021-11-25,Профильный телеграм-канал,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,75,0.2000,0.3000,0.5000,0.7000,0.1500,0.1500,0.2500,0.2500,0.5000
2021-11-26,CRU,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,90,0.2000,0.1000,0.7000,0.2000,0.1000,0.7000,0.7000,0.1000,0.2000
2021-11-30,Argus,Введены ограничения на экспорт калия — рынок ждёт дефицита,Калий,85,0.1000,0.1000,0.8000,0.1000,0.2000,0.7000,0.8000,0.1000,0.1000
2021-12-16,CRU,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,70,0.3500,0.2500,0.4000,0.7500,0.0500,0.2000,0.3000,0.2500,0.4500
2021-12-28,ICIS,Производители аммиака объявили о сокращении мощностей,Аммиак,90,0.6000,0.3000,0.1000,0.7000,0.2000,0.1000,0.5000,0.3000,0.2000
2021-12-30,Reuters,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,70,0.7000,0.1000,0.2000,0.7000,0.1000,0.2000,0.7000,0.1000,0.2000
2022-01-12,Argus,Подписан меморандум о научном сотрудничестве с вузом,Прочее,0,0.0500,0.0500,0.9000,0.0500,0.0500,0.9000,0.0500,0.0500,0.9000
2022-01-25,CRU,Новые контракты по калию заключены ниже рынка,Калий,85,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.1000,0.7000,0.2000
2022-02-01,CRU,Фосфатное сырьё дорожает вслед за серой,Фосфаты,80,0.2000,0.2000,0.6000,0.7000,0.1000,0.2000,0.2500,0.2500,0.5000
2022-02-04,ICIS,Производитель открыл обновлённый учебный центр,Прочее,0,0.1000,0.0500,0.8500,0.1000,0.0500,0.8500,0.1000,0.0500,0.8500
2022-02-07,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,30,0.6000,0.1000,0.3000,0.6500,0.1000,0.2500,0.5500,0.1500,0.3000
2022-02-12,Интерфакс,Производители аммиака объявили о сокращении мощностей,Аммиак,90,0.7500,0.1000,0.1500,0.5000,0.2000,0.3000,0.2500,0.2500,0.5000
2022-02-25,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,40,0.3500,0.1500,0.5000,0.4000,0.1000,0.5000,0.3000,0.2000,0.5000
2022-03-01,Профильный телеграм-канал,Фосфатное сырьё дорожает вслед за серой,Фосфаты,70,0.3500,0.2500,0.4000,0.5500,0.1500,0.3000,0.2000,0.3000,0.5000
2022-03-05,Argus,Рубль резко ослаб к доллару,Макро/валюта,85,0.3000,0.3000,0.4000,0.3000,0.3000,0.4000,0.3000,0.3000,0.4000
2022-03-08,Argus,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,85,0.3500,0.1500,0.5000,0.3500,0.1500,0.5000,0.3500,0.1500,0.5000
2022-03-09,Интерфакс,Производители аммиака объявили о сокращении мощностей,Аммиак,80,0.7000,0.1000,0.2000,0.4000,0.2000,0.4000,0.2000,0.3000,0.5000
2022-03-10,Bloomberg,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,0,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000
2022-03-15,CRU,Новые контракты по калию заключены ниже рынка,Калий,70,0.0500,0.1500,0.8000,0.1000,0.1000,0.8000,0.1000,0.7000,0.2000
2022-03-16,Профильный телеграм-канал,Рубль резко ослаб к доллару,Макро/валюта,50,0.1500,0.3500,0.5000,0.1500,0.3500,0.5000,0.1500,0.3500,0.5000
2022-03-17,CRU,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,70,0.5500,0.1500,0.3000,0.5500,0.1500,0.3000,0.5500,0.1500,0.3000
2022-03-19,Argus,"Ставки фрахта снижаются, логистика дешевеет",Логистика,60,0.1000,0.5000,0.4000,0.1000,0.5000,0.4000,0.1000,0.5000,0.4000
2022-03-22,Reuters,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,85,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000,0.0500,0.8000,0.1500
2022-03-30,Профильный телеграм-канал,Экспортные котировки аммиака выросли вслед за газом,Аммиак,60,0.7000,0.1000,0.2000,0.5000,0.2000,0.3000,0.4000,0.2000,0.4000
2022-04-05,Reuters,Фосфатное сырьё дорожает вслед за серой,Фосфаты,80,0.3000,0.2000,0.5000,0.7000,0.1000,0.2000,0.2000,0.3000,0.5000
2022-04-08,Профильный телеграм-канал,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",Аммиак,90,0.6000,0.1000,0.3000,0.4000,0.2000,0.4000,0.3000,0.3000,0.4000
2022-04-08,Коммерсантъ,Производители аммиака объявили о сокращении мощностей,Аммиак,85,0.7500,0.0500,0.2000,0.6000,0.1000,0.3000,0.2500,0.2000,0.5500
2022-04-11,ICIS,Стабилизация рубля снижает экспортные премии,Макро/валюта,60,0.1000,0.5500,0.3500,0.1000,0.5500,0.3500,0.1000,0.5500,0.3500
2022-04-16,Reuters,Назначен новый директор по устойчивому развитию,Прочее,0,0.2000,0.2000,0.6000,0.2000,0.2000,0.6000,0.1000,0.1000,0.8000
2022-04-22,Интерфакс,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,80,0.3000,0.3000,0.4000,0.7000,0.1000,0.2000,0.3000,0.3000,0.4000
2022-04-22,Argus,Стабилизация рубля снижает экспортные премии,Макро/валюта,50,0.3000,0.5000,0.2000,0.3000,0.5000,0.2000,0.3000,0.5000,0.2000
