news_date,source,headline,predicted_category,priority,urea_increase,urea_decrease,urea_volatility,dap_increase,dap_decrease,dap_volatility,mop_increase,mop_decrease,mop_volatility,actual_category,category_match
2020-05-13,Bloomberg,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,10,0.05,0.05,0.9,0.05,0.05,0.9,0.05,0.05,0.9,Прочее,True
2020-05-21,Коммерсантъ,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,95,0.15,0.25,0.6,0.2,0.2,0.6,0.8,0.1,0.1,Калий,True
2020-05-27,ICIS,"Ставки фрахта снижаются, логистика дешевеет",Логистика,60,0.05,0.7,0.25,0.05,0.68,0.27,0.05,0.7,0.25,Логистика,True
2020-06-04,Bloomberg,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,80,0.35,0.2,0.45,0.45,0.15,0.4,0.35,0.2,0.45,Спрос/агрорынок,True
2020-06-04,Профильный телеграм-канал,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,70,0.7,0.1,0.2,0.7,0.1,0.2,0.7,0.1,0.2,Логистика,True
2020-06-13,Профильный телеграм-канал,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,90,0.7,0.1,0.2,0.7,0.1,0.2,0.7,0.1,0.2,Логистика,True
2020-06-25,Argus,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,85,0.33,0.61,0.06,0.57,0.35,0.08,0.43,0.52,0.05,Калий,True
2020-06-26,Argus,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,85,0.1,0.75,0.15,0.05,0.85,0.1,0.1,0.7,0.2,Фосфаты,True
2020-07-01,ICIS,Опубликован годовой ESG-отчёт компании,Прочее,11,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2020-07-10,CRU,Производители аммиака объявили о сокращении мощностей,Аммиак,85,0.75,0.05,0.2,0.7,0.05,0.25,0.2,0.2,0.6,Аммиак,True
2020-07-18,CRU,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,85,0.3,0.35,0.35,0.35,0.25,0.4,0.05,0.8,0.15,Калий,True
2020-07-21,ICIS,"Ставки фрахта снижаются, логистика дешевеет",Логистика,40,0.05,0.85,0.1,0.05,0.85,0.1,0.05,0.85,0.1,Логистика,True
2020-08-12,Argus,Дефицит калия на ключевых рынках толкает цены вверх,Калий,95,0.1,0.65,0.25,0.05,0.85,0.1,0.1,0.8,0.1,Калий,True
2020-08-17,Интерфакс,Локдауны бьют по логистике и спросу на удобрения,Спрос/агрорынок,70,0.02,0.79,0.19,0.03,0.77,0.2,0.02,0.78,0.2,Спрос/агрорынок,True
2020-08-24,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,Аммиак,75,0.6,0.2,0.2,0.5,0.25,0.25,0.3,0.3,0.4,Аммиак,True
2020-08-26,Reuters,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,80,0.2,0.35,0.45,0.05,0.8,0.15,0.2,0.35,0.45,Фосфаты,True
2020-10-30,CRU,Подписан меморандум о научном сотрудничестве с вузом,Прочее,0,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6,Прочее,True
2020-11-06,ICIS,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,70,0.1,0.1,0.8,0.75,0.1,0.15,0.15,0.15,0.7,Фосфаты,True
2020-11-23,CRU,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,98,0.25,0.5,0.25,0.25,0.5,0.25,0.1,0.8,0.1,Калий,True
2020-11-24,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,95,0.02,0.88,0.1,0.02,0.92,0.06,0.02,0.9,0.08,Фосфаты,True
2020-11-27,Коммерсантъ,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,80,0.7,0.1,0.2,0.7,0.1,0.2,0.7,0.1,0.2,Макро/валюта,True
2020-12-10,Bloomberg,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,70,0.35,0.2,0.45,0.3,0.2,0.5,0.35,0.2,0.45,Спрос/агрорынок,True
2020-12-24,Bloomberg,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,100,0.2,0.35,0.45,0.25,0.35,0.4,0.6,0.2,0.2,Калий,True
2021-01-15,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,80,0.1,0.75,0.15,0.1,0.7,0.2,0.1,0.72,0.18,Аммиак,True
2021-01-15,Reuters,Фосфатное сырьё дорожает вслед за серой,Фосфаты,90,0.6,0.15,0.25,0.85,0.05,0.1,0.5,0.2,0.3,Фосфаты,True
2021-01-21,ICIS,Введены ограничения на экспорт калия — рынок ждёт дефицита,Калий,95,0.2,0.3,0.5,0.2,0.3,0.5,0.7,0.1,0.2,Калий,True
2021-02-01,ICIS,Стабилизация рубля снижает экспортные премии,Макро/валюта,70,0.15,0.35,0.5,0.15,0.35,0.5,0.15,0.35,0.5,Макро/валюта,True
2021-02-04,ICIS,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,95,0.2,0.1,0.7,0.85,0.05,0.1,0.2,0.1,0.7,Фосфаты,True
2021-02-15,CRU,Новые контракты по калию заключены ниже рынка,Калий,80,0.2,0.3,0.5,0.1,0.3,0.6,0.1,0.6,0.3,Калий,True
2021-02-19,Коммерсантъ,Логистические издержки растут — дорожает доставка удобрений,Логистика,85,0.25,0.35,0.4,0.25,0.35,0.4,0.2,0.45,0.35,Логистика,True
2021-03-12,Коммерсантъ,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",Энергоносители,85,0.1,0.6,0.3,0.1,0.5,0.4,0.1,0.4,0.5,Энергоносители,True
2021-03-17,Bloomberg,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,70,0.55,0.15,0.3,0.6,0.1,0.3,0.55,0.15,0.3,Макро/валюта,True
2021-03-23,Интерфакс,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,10,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2021-03-25,Bloomberg,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,85,0.1,0.4,0.5,0.05,0.85,0.1,0.15,0.45,0.4,Фосфаты,True
2021-03-30,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,85,0.1,0.55,0.35,0.1,0.6,0.3,0.1,0.5,0.4,Фосфаты,True
2021-04-13,Профильный телеграм-канал,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,Энергоносители,85,0.6,0.15,0.25,0.2,0.3,0.5,0.15,0.25,0.6,Энергоносители,True
2021-04-14,Argus,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,90,0.2,0.4,0.4,0.25,0.35,0.4,0.1,0.7,0.2,Калий,True
2021-04-20,Профильный телеграм-канал,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,75,0.6,0.2,0.2,0.6,0.2,0.2,0.6,0.2,0.2,Логистика,True
2021-04-26,Argus,Падение цен на зерно ослабляет спрос на удобрения,Спрос/агрорынок,85,0.05,0.7,0.25,0.05,0.7,0.25,0.05,0.7,0.25,Спрос/агрорынок,True
2021-04-30,ICIS,Дефицит калия на ключевых рынках толкает цены вверх,Калий,85,0.05,0.85,0.1,0.05,0.8,0.15,0.9,0.03,0.07,Калий,True
2021-05-03,Интерфакс,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,90,0.4,0.2,0.4,0.5,0.2,0.3,0.8,0.1,0.1,Калий,True
2021-05-03,Интерфакс,Компания провела ежегодный день инвестора,Прочее,10,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2021-05-04,Интерфакс,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,Аммиак,80,0.05,0.85,0.1,0.05,0.85,0.1,0.1,0.7,0.2,Энергоносители,False
2021-05-15,Коммерсантъ,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,85,0.55,0.25,0.2,0.55,0.25,0.2,0.5,0.25,0.25,Логистика,True
2021-05-22,Интерфакс,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,70,0.15,0.55,0.3,0.15,0.6,0.25,0.1,0.7,0.2,Калий,True
2021-05-22,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,90,0.02,0.88,0.1,0.02,0.88,0.1,0.02,0.88,0.1,Аммиак,True
2021-05-24,Argus,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,85,0.05,0.1,0.85,0.05,0.1,0.85,0.7,0.1,0.2,Калий,True
2021-05-24,Bloomberg,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,35,0.2,0.35,0.45,0.2,0.35,0.45,0.2,0.35,0.45,Макро/валюта,True
2021-05-24,Argus,Назначен новый директор по устойчивому развитию,Прочее,10,0.15,0.15,0.7,0.15,0.15,0.7,0.15,0.15,0.7,Прочее,True
2021-06-01,Bloomberg,Компания провела ежегодный день инвестора,Прочее,20,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2021-06-16,Bloomberg,Фосфатное сырьё дорожает вслед за серой,Фосфаты,70,0.85,0.05,0.1,0.9,0.05,0.05,0.7,0.1,0.2,Фосфаты,True
2021-06-18,Коммерсантъ,Введены ограничения на экспорт калия — рынок ждёт дефицита,Калий,85,0.1,0.7,0.2,0.15,0.6,0.25,0.8,0.1,0.1,Калий,True
2021-07-02,CRU,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",Аммиак,85,0.6,0.25,0.15,0.5,0.25,0.25,0.35,0.35,0.3,Энергоносители,False
2021-07-28,Интерфакс,Фермеры откладывают закупки удобрений,Спрос/агрорынок,70,0.05,0.45,0.5,0.05,0.45,0.5,0.05,0.45,0.5,Спрос/агрорынок,True
2021-07-31,Интерфакс,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,Аммиак,85,0.112,0.8579,0.0301,0.1172,0.8488,0.034,0.104,0.8633,0.0327,Энергоносители,False
2021-08-07,Argus,"Ставки фрахта снижаются, логистика дешевеет",Логистика,70,0.05,0.8,0.15,0.05,0.8,0.15,0.05,0.8,0.15,Логистика,True
2021-08-11,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,90,0.02,0.92,0.06,0.02,0.92,0.06,0.02,0.93,0.05,Фосфаты,True
2021-08-14,Коммерсантъ,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,90,0.05,0.7,0.25,0.05,0.65,0.3,0.05,0.7,0.25,Аммиак,True
2021-08-23,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,85,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,0.1,Фосфаты,True
2021-08-27,Интерфакс,Логистические издержки растут — дорожает доставка удобрений,Логистика,70,0.25,0.3,0.45,0.25,0.3,0.45,0.25,0.35,0.4,Логистика,True
2021-09-10,Коммерсантъ,Фермеры откладывают закупки удобрений,Спрос/агрорынок,60,0.1,0.55,0.35,0.1,0.6,0.3,0.05,0.65,0.3,Спрос/агрорынок,True
2021-09-16,ICIS,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,90,0.05,0.6,0.35,0.02,0.88,0.1,0.05,0.55,0.4,Фосфаты,True
2021-09-18,Reuters,Падение цен на зерно ослабляет спрос на удобрения,Спрос/агрорынок,85,0.1,0.7,0.2,0.1,0.7,0.2,0.1,0.65,0.25,Спрос/агрорынок,True
2021-09-21,ICIS,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,70,0.08,0.72,0.2,0.08,0.7,0.22,0.07,0.73,0.2,Логистика,True
2021-09-24,Интерфакс,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,85,0.05,0.65,0.3,0.03,0.85,0.12,0.05,0.65,0.3,Фосфаты,True
2021-09-24,CRU,Фермеры откладывают закупки удобрений,Спрос/агрорынок,80,0.2,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,Спрос/агрорынок,True
2021-09-29,CRU,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,85,0.7,0.05,0.25,0.7,0.05,0.25,0.7,0.05,0.25,Логистика,True
2021-10-05,Коммерсантъ,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,65,0.65,0.15,0.2,0.6,0.15,0.25,0.55,0.15,0.3,Логистика,True
2021-10-07,Интерфакс,Цены на газ в Европе подскочили до многомесячных максимумов,Энергоносители,85,0.79,0.07,0.14,0.76,0.07,0.17,0.77,0.09,0.14,Энергоносители,True
2021-10-11,Профильный телеграм-канал,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,10,0.15,0.65,0.2,0.15,0.65,0.2,0.15,0.65,0.2,Логистика,True
2021-10-18,Профильный телеграм-канал,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,90,0.02,0.88,0.1,0.02,0.9,0.08,0.02,0.87,0.11,Фосфаты,True
2021-11-01,ICIS,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,95,0.8,0.1,0.1,0.9,0.05,0.05,0.9,0.05,0.05,Калий,True
2021-11-12,Argus,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,60,0.15,0.2,0.65,0.8,0.1,0.1,0.2,0.3,0.5,Фосфаты,True
2021-11-15,CRU,"Ставки фрахта снижаются, логистика дешевеет",Логистика,65,0.1,0.65,0.25,0.1,0.6,0.3,0.1,0.55,0.35,Логистика,True
2021-11-18,Интерфакс,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,60,0.6,0.1,0.3,0.85,0.05,0.1,0.55,0.1,0.35,Фосфаты,True
2021-11-25,Профильный телеграм-канал,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,70,0.6,0.1,0.3,0.75,0.05,0.2,0.55,0.1,0.35,Фосфаты,True
2021-11-26,CRU,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,100,0.2,0.5,0.3,0.4,0.25,0.35,0.65,0.15,0.2,Калий,True
2021-11-30,Argus,Введены ограничения на экспорт калия — рынок ждёт дефицита,Калий,1,0.15,0.55,0.3,0.2,0.5,0.3,0.4,0.35,0.25,Калий,True
2021-12-16,CRU,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,85,0.1,0.05,0.85,0.85,0.05,0.1,0.1,0.05,0.85,Фосфаты,True
2021-12-28,ICIS,Производители аммиака объявили о сокращении мощностей,Аммиак,95,0.7,0.15,0.15,0.7,0.15,0.15,0.1,0.6,0.3,Аммиак,True
2021-12-30,Reuters,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,70,0.55,0.15,0.3,0.55,0.15,0.3,0.5,0.15,0.35,Спрос/агрорынок,True
2022-01-12,Argus,Подписан меморандум о научном сотрудничестве с вузом,Прочее,0,0.05,0.05,0.9,0.05,0.05,0.9,0.05,0.05,0.9,Прочее,True
2022-01-25,CRU,Новые контракты по калию заключены ниже рынка,Калий,85,0.05,0.05,0.9,0.05,0.05,0.9,0.1,0.3,0.6,Калий,True
2022-02-01,CRU,Фосфатное сырьё дорожает вслед за серой,Фосфаты,85,0.25,0.45,0.3,0.3,0.5,0.2,0.25,0.35,0.4,Фосфаты,True
2022-02-04,ICIS,Производитель открыл обновлённый учебный центр,Прочее,0,0.05,0.05,0.9,0.05,0.05,0.9,0.05,0.05,0.9,Прочее,True
2022-02-07,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,80,0.4,0.2,0.4,0.45,0.15,0.4,0.4,0.2,0.4,Спрос/агрорынок,True
2022-02-12,Интерфакс,Производители аммиака объявили о сокращении мощностей,Аммиак,85,0.1,0.7,0.2,0.1,0.7,0.2,0.1,0.75,0.15,Аммиак,True
2022-02-25,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,70,0.35,0.2,0.45,0.3,0.2,0.5,0.3,0.25,0.45,Спрос/агрорынок,True
2022-03-01,Профильный телеграм-канал,Фосфатное сырьё дорожает вслед за серой,Фосфаты,85,0.33,0.56,0.11,0.42,0.45,0.13,0.38,0.49,0.13,Фосфаты,True
2022-03-05,Argus,Рубль резко ослаб к доллару,Макро/валюта,25,0.1,0.7,0.2,0.1,0.7,0.2,0.1,0.7,0.2,Макро/валюта,True
2022-03-08,Argus,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,75,0.75,0.05,0.2,0.75,0.05,0.2,0.7,0.05,0.25,Макро/валюта,True
2022-03-09,Интерфакс,Производители аммиака объявили о сокращении мощностей,Аммиак,80,0.05,0.7,0.25,0.05,0.7,0.25,0.05,0.75,0.2,Аммиак,True
2022-03-10,Bloomberg,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,10,0.15,0.1,0.75,0.15,0.1,0.75,0.15,0.1,0.75,Прочее,True
2022-03-15,CRU,Новые контракты по калию заключены ниже рынка,Калий,90,0.3,0.2,0.5,0.2,0.4,0.4,0.15,0.6,0.25,Калий,True
2022-03-16,Профильный телеграм-канал,Рубль резко ослаб к доллару,Макро/валюта,65,0.65,0.15,0.2,0.7,0.1,0.2,0.6,0.1,0.3,Макро/валюта,True
2022-03-17,CRU,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,70,0.45,0.15,0.4,0.45,0.15,0.4,0.5,0.1,0.4,Спрос/агрорынок,True
2022-03-19,Argus,"Ставки фрахта снижаются, логистика дешевеет",Логистика,75,0.1,0.7,0.2,0.1,0.7,0.2,0.15,0.65,0.2,Логистика,True
2022-03-22,Reuters,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,85,0.1,0.5,0.4,0.1,0.55,0.35,0.05,0.7,0.25,Калий,True
2022-03-30,Профильный телеграм-канал,Экспортные котировки аммиака выросли вслед за газом,Аммиак,90,0.4,0.15,0.45,0.35,0.15,0.5,0.2,0.15,0.65,Аммиак,True
2022-04-05,Reuters,Фосфатное сырьё дорожает вслед за серой,Фосфаты,85,0.6,0.1,0.3,0.8,0.1,0.1,0.5,0.1,0.4,Фосфаты,True
2022-04-08,Профильный телеграм-канал,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",Аммиак,88,0.8,0.05,0.15,0.6,0.1,0.3,0.3,0.2,0.5,Энергоносители,False
2022-04-08,Коммерсантъ,Производители аммиака объявили о сокращении мощностей,Аммиак,85,0.2,0.6,0.2,0.2,0.6,0.2,0.2,0.6,0.2,Аммиак,True
2022-04-11,ICIS,Стабилизация рубля снижает экспортные премии,Макро/валюта,85,0.2,0.3,0.5,0.25,0.25,0.5,0.25,0.25,0.5,Макро/валюта,True
2022-04-16,Reuters,Назначен новый директор по устойчивому развитию,Прочее,10,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2022-04-22,Интерфакс,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,80,0.65,0.15,0.2,0.9,0.05,0.05,0.65,0.15,0.2,Фосфаты,True
2022-04-22,Argus,Стабилизация рубля снижает экспортные премии,Макро/валюта,40,0.25,0.35,0.4,0.3,0.25,0.45,0.3,0.25,0.45,Макро/валюта,True
2022-04-26,ICIS,Производители аммиака объявили о сокращении мощностей,Аммиак,80,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,0.1,Аммиак,True
2022-04-28,Профильный телеграм-канал,Стабилизация рубля снижает экспортные премии,Макро/валюта,40,0.25,0.25,0.5,0.35,0.15,0.5,0.35,0.15,0.5,Макро/валюта,True
2022-04-29,Коммерсантъ,Компания провела ежегодный день инвестора,Прочее,10,0.02,0.03,0.95,0.03,0.02,0.95,0.03,0.03,0.94,Прочее,True
2022-04-30,CRU,"Ставки фрахта снижаются, логистика дешевеет",Логистика,45,0.1,0.7,0.2,0.1,0.7,0.2,0.1,0.7,0.2,Логистика,True
2022-05-05,Reuters,Стабилизация рубля снижает экспортные премии,Макро/валюта,80,0.1,0.5,0.4,0.1,0.5,0.4,0.1,0.5,0.4,Макро/валюта,True
2022-05-13,Bloomberg,Экспортные котировки аммиака выросли вслед за газом,Аммиак,80,0.7,0.1,0.2,0.6,0.1,0.3,0.5,0.1,0.4,Аммиак,True
2022-05-13,CRU,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,30,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Макро/валюта,True
2022-05-14,Argus,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,80,0.196,0.423,0.381,0.243,0.298,0.459,0.168,0.362,0.47,Спрос/агрорынок,True
2022-05-30,ICIS,Локдауны бьют по логистике и спросу на удобрения,Спрос/агрорынок,80,0.05,0.85,0.1,0.08,0.8,0.12,0.05,0.85,0.1,Спрос/агрорынок,True
2022-06-04,Коммерсантъ,Назначен новый директор по устойчивому развитию,Прочее,0,0.05,0.05,0.9,0.05,0.05,0.9,0.05,0.05,0.9,Прочее,True
2022-06-06,Интерфакс,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,30,0.3,0.25,0.45,0.3,0.25,0.45,0.3,0.25,0.45,Макро/валюта,True
2022-06-07,Reuters,Введены ограничения на экспорт калия — рынок ждёт дефицита,Калий,100,0.15,0.35,0.5,0.2,0.3,0.5,0.6,0.1,0.3,Калий,True
2022-06-21,Интерфакс,Дефицит калия на ключевых рынках толкает цены вверх,Калий,80,0.15,0.25,0.6,0.15,0.25,0.6,0.6,0.1,0.3,Калий,True
2022-06-25,Reuters,Экспортные котировки аммиака выросли вслед за газом,Аммиак,80,0.4,0.2,0.4,0.5,0.2,0.3,0.35,0.25,0.4,Аммиак,True
2022-07-09,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,Фосфаты,85,0.25,0.25,0.5,0.7,0.1,0.2,0.2,0.3,0.5,Фосфаты,True
2022-07-21,CRU,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",Аммиак,80,0.7,0.1,0.2,0.6,0.1,0.3,0.3,0.3,0.4,Энергоносители,False
2022-07-21,Интерфакс,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,95,0.1,0.2,0.7,0.1,0.2,0.7,0.65,0.2,0.15,Калий,True
2022-08-05,CRU,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,Энергоносители,90,0.65,0.1,0.25,0.2,0.3,0.5,0.15,0.25,0.6,Энергоносители,True
2022-08-06,Коммерсантъ,Подписан меморандум о научном сотрудничестве с вузом,Прочее,5,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2022-08-17,Argus,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,75,0.25,0.45,0.3,0.25,0.4,0.35,0.2,0.5,0.3,Макро/валюта,True
2022-08-18,Профильный телеграм-канал,Дефицит калия на ключевых рынках толкает цены вверх,Калий,95,0.15,0.55,0.3,0.15,0.55,0.3,0.15,0.55,0.3,Калий,True
2022-08-26,CRU,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,80,0.1,0.4,0.5,0.05,0.8,0.15,0.1,0.3,0.6,Фосфаты,True
2022-08-29,ICIS,"Ставки фрахта снижаются, логистика дешевеет",Логистика,60,0.12,0.68,0.2,0.15,0.65,0.2,0.1,0.7,0.2,Логистика,True
2022-09-12,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,95,0.2,0.5,0.3,0.1,0.6,0.3,0.2,0.5,0.3,Фосфаты,True
2022-09-14,CRU,Экспортные котировки аммиака выросли вслед за газом,Аммиак,90,0.45,0.2,0.35,0.35,0.25,0.4,0.25,0.3,0.45,Аммиак,True
2022-09-16,Коммерсантъ,Назначен новый директор по устойчивому развитию,Прочее,5,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2022-09-19,ICIS,Новые контракты по калию заключены ниже рынка,Калий,90,0.25,0.55,0.2,0.2,0.6,0.2,0.15,0.65,0.2,Калий,True
2022-09-23,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,80,0.1,0.65,0.25,0.05,0.85,0.1,0.1,0.6,0.3,Фосфаты,True
2022-09-30,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,90,0.05,0.85,0.1,0.03,0.92,0.05,0.04,0.88,0.08,Фосфаты,True
2022-10-03,Интерфакс,Локдауны бьют по логистике и спросу на удобрения,Логистика,70,0.05,0.7,0.25,0.05,0.7,0.25,0.05,0.7,0.25,Спрос/агрорынок,False
2022-10-11,Интерфакс,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,90,0.15,0.5,0.35,0.15,0.5,0.35,0.1,0.7,0.2,Калий,True
2022-10-19,CRU,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,0,0.05,0.05,0.9,0.05,0.05,0.9,0.05,0.05,0.9,Прочее,True
2022-10-24,ICIS,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,70,0.15,0.55,0.3,0.2,0.45,0.35,0.1,0.6,0.3,Логистика,True
2022-11-01,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,90,0.05,0.75,0.2,0.05,0.75,0.2,0.05,0.75,0.2,Аммиак,True
2022-11-02,Интерфакс,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",Энергоносители,85,0.05,0.75,0.2,0.05,0.75,0.2,0.05,0.75,0.2,Энергоносители,True
