date,source,headline,pred_category,category_reasoning,actionable
2024-07-04,ICIS,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,"Заголовок новости напрямую связан с аммиаком и его ценами, а источник ICIS является надежным отраслевым изданием. Категория 'Аммиак' включает аммиак, мочевину и азотные удобрения, что соответствует содержанию новости.",True
2024-07-11,ICIS,Экспортные котировки аммиака выросли вслед за газом,Аммиак,"Событие напрямую связано с аммиаком (рост экспортных котировок) и его ключевым фактором — газом. Источник ICIS является надежным отраслевым изданием. Категория 'Аммиак' имеет приоритет перед 'Энергоносители', так как в заголовке указан именно продукт (аммиак), а не сам газ.",True
2024-07-24,Argus,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",Энергоносители,"Новость напрямую связана с ценами на газ (энергоноситель), который является ключевым фактором себестоимости азотных удобрений (аммиак/мочевина). Источник Argus надёжен. Снижение цен на газ оказывает давление на себестоимость удобрений, что соответствует категории «Энергоносители».",True
2024-07-24,Интерфакс,Локдауны бьют по логистике и спросу на удобрения,Логистика,"Заголовок новости прямо указывает на влияние локдаунов на логистику и спрос на удобрения. Хотя спрос (агрорынок) также упоминается, ключевое слово 'логистика' стоит на первом месте, а локдауны в первую очередь нарушают цепочки поставок (порты, контейнеры, доставка). Источник (Интерфакс) — надёжный. Согласно правилам, категория 'Логистика' выбрана как основная, так как она напрямую связана с фрахтом и цепочками поставок, что является первичным эффектом локдаунов, а спрос — вторичным.",True
2024-08-01,Профильный телеграм-канал,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,"Заголовок новости напрямую связан с DAP (диаммонийфосфат), который относится к категории фосфорных удобрений. Упоминание слабого спроса в Индии указывает на фактор спроса, но основная тема — это конкретный продукт DAP, что соответствует категории 'Фосфаты'. Источник — профильный телеграм-канал, тематика новости — рыночная динамика DAP.",True
2024-08-03,Интерфакс,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,"Заголовок и источник (Интерфакс) прямо указывают на нарушение цепочек поставок и рост стоимости контейнеров. Это соответствует категории ""Логистика — фрахт, доставка, порты, контейнеры, цепочки поставок"". Событие имеет масштабное влияние на все рынки удобрений, но не относится напрямую к конкретному продукту (аммиак, фосфаты, калий).",True
2024-08-14,ICIS,Цены на газ в Европе подскочили до многомесячных максимумов,Энергоносители,"Заголовок напрямую сообщает о росте цен на газ в Европе, что относится к энергоносителям. Газ является ключевым сырьём для производства аммиака и мочевины, но сама новость не касается непосредственно рынка удобрений, а фокусируется на энергетическом рынке.",True
2024-08-16,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,Аммиак,"Заголовок напрямую упоминает производителей аммиака и сокращение мощностей. Это однозначно относится к категории аммиака (азотные удобрения, мощности азотных заводов). Источник — профильный телеграм-канал, что типично для отраслевых новостей.",True
2024-09-09,Bloomberg,Дефицит калия на ключевых рынках толкает цены вверх,Калий,Заголовок напрямую указывает на дефицит калия (potash) и рост цен на него. Источник Bloomberg является надежным. Событие имеет прямой рыночный эффект на цены MOP.,True
2024-09-21,CRU,Экспортные котировки аммиака выросли вслед за газом,Аммиак,"Заголовок новости напрямую указывает на аммиак и его связь с газом (энергоноситель). Согласно заданным сильным связям, газ сильнее всего связан с аммиаком и мочевиной. Источник CRU является надежным отраслевым аналитическим агентством. Категория 'Аммиак' включает аммиак, мочевину и азотные удобрения, что полностью соответствует содержанию новости.",True
2024-10-11,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,Аммиак,"Заголовок напрямую упоминает производителей аммиака и сокращение мощностей. Это однозначно относится к категории аммиака (азотные удобрения, мощности азотных заводов). Источник — профильный телеграм-канал, что типично для отраслевых новостей.",True
2024-10-18,Коммерсантъ,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,"Заголовок напрямую указывает на рост цен на DAP (диаммонийфосфат), который является ключевым фосфорным удобрением. Упоминание спроса в Южной Азии относится к агрорынку, но центральный элемент новости — динамика цен на DAP, что соответствует категории «Фосфаты». Источник (Коммерсантъ) надёжен, масштаб события значим для рынка фосфатов.",True
2024-10-21,CRU,Логистические издержки растут — дорожает доставка удобрений,Логистика,"Заголовок напрямую указывает на рост логистических издержек и удорожание доставки удобрений, что соответствует категории ""Логистика"" (фрахт, доставка, цепочки поставок). Источник CRU является надежным отраслевым аналитическим агентством.",True
2024-10-22,Argus,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,"Заголовок и источник (Argus) указывают на макроэкономические факторы: укрепление рубля и решение ЦБ по ключевой ставке. Это напрямую относится к категории 'Макро/валюта', так как затрагивает курс валюты и денежно-кредитную политику, что влияет на экспортные премии и себестоимость для российских производителей удобрений.",True
2024-11-09,Reuters,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,"Заголовок новости напрямую указывает на девальвацию рубля (курс валюты/макроэкономика) и её влияние на экспортную привлекательность удобрений. Хотя новость в конечном итоге затрагивает цены на удобрения, ключевой движущий фактор — курс валюты, что соответствует категории 'Макро/валюта'. Связь с ценами urea/dap/mop есть, но она опосредованная (через экспортную привлекательность).",True
2024-11-09,Профильный телеграм-канал,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,"Заголовок новости напрямую указывает на нарушение цепочек поставок и рост стоимости контейнеров, что относится к логистике, доставке и цепочкам поставок. Источник — профильный телеграм-канал, что указывает на отраслевую направленность, но не меняет категорию.",True
2024-11-11,Reuters,Фосфатное сырьё дорожает вслед за серой,Фосфаты,"Новость напрямую связана с фосфатным сырьём и серой, которая является ключевым фактором затрат для производства DAP/MAP (фосфорные удобрения). Связь между серой и DAP указана как сильная. Источник Reuters — надёжный.",True
2024-11-19,Reuters,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,"Заголовок новости напрямую указывает на снижение котировок аммиака, что является прямым ценовым сигналом для рынка аммиака. Источник Reuters является надежным. Слабый спрос также относится к факторам, влияющим на рынок аммиака. Категория 'Аммиак' является наиболее подходящей, так как новость напрямую связана с ценами на аммиак.",True
2024-11-21,ICIS,Производитель открыл обновлённый учебный центр,Прочее,"Новость об открытии учебного центра не содержит прямой информации о рынке удобрений, ценах, сырье или логистике. Это корпоративное событие без немедленного рыночного эффекта, поэтому относится к категории 'Прочее'.",False
2024-11-21,Reuters,Рубль резко ослаб к доллару,Макро/валюта,"Заголовок 'Рубль резко ослаб к доллару' напрямую относится к курсу валюты и макроэкономике. Согласно заданным категориям, это 'Макро/валюта', так как указано 'курс, ЦБ, санкции, экспортные премии, макроэкономика'. Источник Reuters — надёжный.",True
2024-11-28,Bloomberg,"Ставки фрахта снижаются, логистика дешевеет",Логистика,"Заголовок напрямую говорит о ставках фрахта и логистике, что полностью соответствует категории 'Логистика'.",True
2024-12-09,CRU,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,"Новость о проведении отраслевой конференции по удобрениям не содержит прямой информации о ценах, спросе, предложении, логистике или макроэкономических факторах. Такие события обычно не оказывают немедленного рыночного эффекта, поэтому они относятся к категории «Прочее».",False
2024-12-10,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,"Заголовок новости напрямую связан с котировками аммиака. Источник (Argus) является надежным отраслевым изданием. Падение цен на аммиак относится к категории 'Аммиак', которая включает как сам аммиак, так и азотные удобрения (мочевина) и мощности азотных заводов.",True
2025-01-13,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,Фосфаты,"Заголовок новости прямо указывает на рост цен на фосфатное сырьё в связи с динамикой цен на серу. Согласно заданным правилам, 'Фосфаты — DAP, MAP, фосфорные удобрения, сера, фосфатное сырьё'. Сера имеет сильную связь с DAP и фосфорной рудой. Таким образом, новость напрямую относится к категории 'Фосфаты'.",True
2025-01-17,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,"Заголовок прямо указывает на нарушение цепочек поставок и рост стоимости контейнеров. Это относится к категории 'Логистика', которая включает фрахт, доставку, порты, контейнеры и цепочки поставок. Хотя косвенно это может повлиять на другие категории (например, на цены MOP, DAP или мочевины через удорожание доставки), основное содержание новости — логистический сбой. Источник CRU является надежным отраслевым источником.",True
2025-01-27,CRU,"Ставки фрахта снижаются, логистика дешевеет",Логистика,"Заголовок прямо указывает на снижение ставок фрахта и удешевление логистики, что соответствует категории «Логистика» (фрахт, доставка, цепочки поставок). Источник CRU является надежным и специализируется на анализе рынков сырья, включая удобрения. Событие имеет прямое влияние на стоимость доставки удобрений, но не относится непосредственно к ценам на конкретные виды удобрений (аммиак/мочевина, DAP/фосфаты, MOP/калий), энергоносителям, макроэкономике или спросу/агрорынку.",True
2025-02-15,Bloomberg,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,"Заголовок новости напрямую связывает рост цен на зерно с поддержкой спроса на удобрения. Это относится к категории 'Спрос/агрорынок', так как в ней рассматриваются агрокультуры, фермеры и сезон закупок. Источник Bloomberg является надежным, а связь между ценами на зерно и спросом на удобрения является прямой и значимой для рынка.",True
2025-02-21,Коммерсантъ,Новые контракты по калию заключены ниже рынка,Калий,"Заголовок прямо упоминает калий (калийные удобрения), а также говорит о заключении контрактов 'ниже рынка', что напрямую связано с ценообразованием на MOP (хлористый калий). Источник — Коммерсантъ, надёжное деловое издание. Категория 'Калий' выбрана однозначно.",True
2025-02-28,ICIS,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,"Новость об отраслевой конференции по удобрениям не содержит информации о ценах, спросе, предложении, логистике или макроэкономических факторах, напрямую влияющих на рынок. Это корпоративное/отраслевое событие без немедленного рыночного эффекта.",False
2025-03-05,Reuters,Производитель открыл обновлённый учебный центр,Прочее,"Заголовок новости сообщает об открытии обновлённого учебного центра производителем удобрений. Это не затрагивает цены на конкретные продукты (urea/DAP/MOP), не относится к макроэкономике, логистике, спросу или энергоносителям. Событие носит корпоративный характер и не оказывает прямого рыночного эффекта, поэтому подходит под категорию 'Прочее'.",False
2025-03-10,CRU,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,"Заголовок и источник (CRU) указывают на изменение курса рубля и решение Центробанка по ключевой ставке. Это прямо относится к макроэкономическим факторам и валютному рынку, что соответствует категории ""Макро/валюта"". Санкции, курс и действия ЦБ — ключевые элементы этой категории.",True
2025-03-22,CRU,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,"Новость напрямую связана с курсом рубля (девальвация) и её влиянием на экспортную привлекательность удобрений в целом. Это соответствует категории ""Макро/валюта"", которая охватывает курс, ЦБ, санкции, экспортные премии и макроэкономику. Источник CRU надёжен. Прямая связь с ценами на удобрения опосредована через макроэкономический фактор, а не через конкретный продукт, поэтому другие категории (аммиак, фосфаты, калий) менее релевантны.",True
2025-04-01,Reuters,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,"В заголовке прямо указано, что высокие цены на агрокультуры стимулируют закупки удобрений фермерами. Это непосредственное событие, связанное со спросом на удобрения и поведением агрорынка. Источник Reuters надёжен. Категория 'Спрос/агрорынок' наиболее точно отражает суть новости, так как речь идёт о стимулах для фермеров увеличивать закупки, что влияет на спрос на удобрения. Остальные категории (Аммиак, Фосфаты, Калий, Энергоносители, Логистика, Макро/валюта, Прочее) не соответствуют содержанию заголовка, где нет упоминания конкретного вида удобрений, энергоносителей, логистики, макроэкономики или корпоративных аспектов.",True
2025-04-10,Профильный телеграм-канал,Логистические издержки растут — дорожает доставка удобрений,Логистика,"Заголовок новости напрямую указывает на рост логистических издержек и удорожание доставки удобрений. Источник — профильный телеграм-канал, что повышает значимость. Тема соответствует категории «Логистика» (фрахт, доставка, порты, контейнеры, цепочки поставок). Нет прямой привязки к конкретному типу удобрений (аммиак, фосфаты, калий) или макроэкономике. Связи с другими факторами (например, нефть Brent или газ) не упоминаются, поэтому выбирается наиболее точная категория.",True
2025-04-12,ICIS,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,Энергоносители,"Заголовок новости прямо указывает на рост цен на газ и его влияние на себестоимость азотных удобрений. Согласно инструкции, газ сильнее всего связан с аммиаком и мочевиной, и данная новость затрагивает именно производственные затраты. Источник ICIS надёжен. Категория 'Энергоносители' наиболее точно отражает суть новости, так как основное внимание уделяется изменению стоимости газа как энергоносителя и фактора себестоимости.",True
2025-04-18,Argus,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,"Заголовок и источник (Argus) указывают на отраслевую конференцию, что не имеет прямого рыночного эффекта на цены удобрений, не относится к производству, логистике, макроэкономике или спросу/агрорынку. Это событие (конференция) попадает в категорию «Прочее» как корпоративное/отраслевое без прямого влияния на рынок.",False
2025-04-22,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,Фосфаты,"Заголовок новости прямо указывает на рост цен на фосфатное сырьё в связи с динамикой цен на серу. Согласно заданным правилам, 'Фосфаты — DAP, MAP, фосфорные удобрения, сера, фосфатное сырьё'. Сера имеет сильную связь с DAP и фосфорной рудой. Таким образом, новость напрямую относится к категории 'Фосфаты'.",True
2025-05-10,Коммерсантъ,Новые контракты по калию заключены ниже рынка,Калий,"Заголовок прямо упоминает калий (калийные удобрения), а также говорит о заключении контрактов 'ниже рынка', что напрямую связано с ценообразованием на MOP (хлористый калий). Источник — Коммерсантъ, надёжное деловое издание. Категория 'Калий' выбрана однозначно.",True
2025-05-14,Коммерсантъ,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,"Новость напрямую связывает снижение цен на серу как фактор, влияющий на котировки фосфатных удобрений. Согласно заданным связям, сера сильнее всего связана с DAP (фосфатами), что указывает на категорию 'Фосфаты'.",True
2025-05-15,CRU,Газ дешевеет вторую неделю подряд,Энергоносители,"Новость о снижении цен на газ напрямую относится к энергоносителям, которые являются ключевым фактором себестоимости производства азотных удобрений (аммиак, мочевина). Несмотря на сильную связь газа с аммиаком и мочевиной, по масштабу события (динамика цен на газ) и отсутствию в заголовке прямого упоминания удобрений, категория 'Энергоносители' является наиболее точной. Источник CRU — надежный.",True
2025-05-15,ICIS,Фермеры откладывают закупки удобрений,Спрос/агрорынок,"Заголовок новости напрямую связан с поведением фермеров, которые откладывают закупки удобрений. Это относится к спросу на удобрения и агрорынку. Источник ICIS является надежным отраслевым изданием. Другие категории (аммиак, фосфаты, калий, энергоносители, логистика, макро/валюта, прочее) не соответствуют содержанию, так как в заголовке нет указания на конкретный вид удобрений или другие факторы.",True
2025-05-24,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,"Новость напрямую связывает снижение цен на серу (сырьё для фосфорной кислоты) с падением котировок фосфатных удобрений (DAP/MAP). Сера указана в сильных связях с DAP (""Сера — сильнее всего связана с DAP, фосфорной рудой и MOP"") и с фосфорной рудой. Источник ICIS — надёжный ценовой агент для рынка удобрений. Категория ""Фосфаты"". Масштаб события — прямое влияние на цены DAP.",True
2025-05-26,Профильный телеграм-канал,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,"Заголовок новости напрямую связан с DAP (диаммонийфосфат), который относится к категории фосфорных удобрений. Упоминание слабого спроса в Индии указывает на фактор спроса, но основная тема — это конкретный продукт DAP, что соответствует категории 'Фосфаты'. Источник — профильный телеграм-канал, тематика новости — рыночная динамика DAP.",True
2025-05-30,Интерфакс,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,"Заголовок прямо упоминает поставки калия и цены MOP (хлористого калия), что соответствует категории 'Калий'. Источник (Интерфакс) является надежным. Событие напрямую влияет на рынок калия.",True
2025-05-31,ICIS,Назначен новый директор по устойчивому развитию,Прочее,"Новость о кадровом назначении в области устойчивого развития (ESG) от источника ICIS. Событие не имеет прямого рыночного эффекта на цены удобрений (аммиак/мочевина, DAP/фосфаты, MOP/калий), не связано с производственными мощностями, логистикой, макроэкономикой или агроспросом. Отнесено к категории корпоративных/ESG/конференций без прямого рыночного эффекта.",False
2025-06-13,Коммерсантъ,Запущена корпоративная программа стажировок,Прочее,"Новость не содержит прямой информации о ценах, производстве, спросе/предложении или логистике на рынках аммиака/мочевины, фосфатов или калия. Корпоративная программа стажировок относится к HR/ESG-активности и не оказывает прямого рыночного эффекта.",False
2025-06-23,Интерфакс,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,"Новость напрямую касается DAP (диаммонийфосфата), который является ключевым фосфорным удобрением. Снижение цены из-за слабого спроса в Индии — значимый рыночный фактор для сегмента фосфатов.",True
2025-07-10,CRU,Назначен новый директор по устойчивому развитию,Прочее,"Новость о кадровых изменениях в компании (назначение директора по устойчивому развитию) не имеет прямого рыночного эффекта на цены удобрений и не относится к конкретным сегментам рынка (аммиак, фосфаты, калий), энергоносителям, логистике, макроэкономике или агрорынку. Она относится к корпоративным/ESG событиям.",False
2025-07-11,Профильный телеграм-канал,Фермеры откладывают закупки удобрений,Спрос/агрорынок,"Заголовок новости напрямую связан с поведением фермеров, которые откладывают закупки удобрений. Это относится к спросу на удобрения и сезону закупок, что соответствует категории 'Спрос/агрорынок'. Событие имеет прямое влияние на рыночный спрос, но не относится к конкретному типу удобрений (аммиак, фосфаты, калий) или другим категориям.",True
2025-07-14,Argus,Падение цен на зерно ослабляет спрос на удобрения,Спрос/агрорынок,"Новость напрямую связывает падение цен на зерно со снижением спроса на удобрения, что относится к категории спроса и агрорынка. Источник (Argus) надёжен, а связь между зерном и спросом на удобрения является прямой (фермеры сокращают закупки при низких доходах).",True
2025-07-28,Профильный телеграм-канал,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,"Заголовок напрямую упоминает калий (MOP) и снижение его цен. Источник — профильный телеграм-канал, что указывает на отраслевую направленность. Категория 'Калий' выбрана как единственная, соответствующая теме.",True
2025-08-04,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,Новость напрямую связывает снижение цен на серу (ключевое сырьё для производства фосфорных удобрений) с падением котировок фосфатных удобрений (DAP/MAP). Это соответствует категории «Фосфаты» и пересечению «Сера — сильнее всего связана с DAP».,True
2025-08-12,ICIS,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,"Заголовок новости напрямую указывает на изменение ставок морского фрахта, что относится к категории ""Логистика"" (фрахт, доставка, порты, цепочки поставок).",True
2025-08-13,Argus,Падение цен на зерно ослабляет спрос на удобрения,Спрос/агрорынок,"Новость напрямую связывает падение цен на зерно со снижением спроса на удобрения, что относится к категории спроса и агрорынка. Источник (Argus) надёжен, а связь между зерном и спросом на удобрения является прямой (фермеры сокращают закупки при низких доходах).",True
2025-08-16,Reuters,Экспортные котировки аммиака выросли вслед за газом,Аммиак,"Заголовок новости прямо указывает на рост экспортных котировок аммиака, что относится к категории 'Аммиак'. Согласно сильным связям, газ напрямую связан с аммиаком и мочевиной, а изменение цен на газ является ключевым фактором для азотного рынка. Источник Reuters является надежным. Масштаб события — изменение котировок аммиака — соответствует данной категории.",True
2025-08-28,Коммерсантъ,Локдауны бьют по логистике и спросу на удобрения,Прочее,"Заголовок говорит о локдаунах, которые влияют на логистику и спрос на удобрения. Согласно правилам, логистика и спрос относятся к разным категориям, но заголовок объединяет оба аспекта без указания конкретного продукта. Лучше всего отнести новость к категории 'Прочее', так как она описывает общий макроэкономический эффект, не фокусируясь на одном из конкретных рынков (аммиак, фосфаты, калий) или факторах (энергоносители, макро/валюта) напрямую.",False
2025-08-29,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,Заголовок и источник напрямую указывают на влияние цен на серу (сырьё для производства фосфорной кислоты) на котировки фосфатных удобрений (DAP/MAP). Это первичная рыночная информация для данного сегмента.,True
2025-09-01,CRU,Опубликован годовой ESG-отчёт компании,Прочее,"Новость о публикации годового ESG-отчёта компании не имеет прямого отношения к ценам на удобрения, производственным мощностям, логистике или макроэкономическим факторам. Это корпоративная информация без немедленного рыночного эффекта, поэтому относится к категории 'Прочее'.",False
2025-09-09,Reuters,Дефицит калия на ключевых рынках толкает цены вверх,Калий,"Событие напрямую связано с калием (MOP/potash), упоминается дефицит и рост цен на ключевых рынках. Высокая релевантность ценообразования калия, надежный источник Reuters.",True
2025-09-10,Интерфакс,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,"Заголовок и источник (Интерфакс) напрямую указывают на рынок аммиака (аммиачные мощности и их влияние на цены). Это соответствует категории 'Аммиак — аммиак, мочевина, азотные удобрения, мощности азотных заводов'.",True
2025-09-13,Bloomberg,Производитель открыл обновлённый учебный центр,Прочее,"Новость не содержит информации о ценах, производственных мощностях, спросе, логистике или макроэкономических факторах, напрямую влияющих на рынок удобрений. Открытие учебного центра — это корпоративное/ESG-событие без прямого рыночного эффекта.",False
2025-09-19,Argus,Запущена корпоративная программа стажировок,Прочее,"Заголовок новости 'Запущена корпоративная программа стажировок' не имеет прямого отношения к рыночным факторам, таким как цены на удобрения, производство или спрос. Это корпоративное событие (HR/ESG), без описания влияния на мощности, логистику или макроэкономику. Несмотря на надёжный источник (Argus), отсутствует связь с ценами urea/dap/mop или смежными факторами.",False
2025-10-09,Reuters,Стабилизация на газовом рынке снижает издержки производителей,Аммиак,"Новость Reuters о стабилизации на газовом рынке и снижении издержек производителей напрямую связана с себестоимостью производства азотных удобрений (аммиак, мочевина). Газ является ключевым сырьём для аммиака, и изменения его стоимости оказывают наибольшее влияние именно на этот сегмент. Согласно инструкции, газ сильнее всего связан с аммиаком и мочевиной. Масштаб события — снижение издержек производителей — является прямым рыночным фактором для азотных удобрений, а не для фосфатов, калия или других категорий. Источник — Reuters — надёжен.",True
2025-10-10,ICIS,Экспортные котировки аммиака выросли вслед за газом,Аммиак,"Событие напрямую связано с аммиаком (рост экспортных котировок) и его ключевым фактором — газом. Источник ICIS является надежным отраслевым изданием. Категория 'Аммиак' имеет приоритет перед 'Энергоносители', так как в заголовке указан именно продукт (аммиак), а не сам газ.",True
2025-10-21,ICIS,Рубль резко ослаб к доллару,Макро/валюта,"Заголовок новости напрямую связан с курсом рубля к доллару США. Это относится к категории «Макро/валюта», так как включает изменение валютного курса (USD/RUB), что является макроэкономическим фактором. Хотя в описании упоминается обратная связь USD/RUB с фрахтом, газом и аммиаком, прямой новостью является именно движение валюты, а не изменения на рынке удобрений. Источник ICIS является надежным, но ключевое содержание новости — ослабление рубля.",True
2025-10-27,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,Аммиак,"Заголовок напрямую упоминает производителей аммиака и сокращение мощностей. Это однозначно относится к категории аммиака (азотные удобрения, мощности азотных заводов). Источник — профильный телеграм-канал, что типично для отраслевых новостей.",True
2025-10-31,Reuters,Стабилизация рубля снижает экспортные премии,Макро/валюта,"Заголовок новости напрямую связан с курсом рубля и его влиянием на экспортные премии, что относится к макроэкономическим и валютным факторам. Источник (Reuters) — надёжный. Согласно приоритетам, масштаб события значим для рынка удобрений, так как изменения курса рубля сильно влияют на конкурентоспособность российского экспорта, особенно через связь с аммиаком, мочевиной и фрахтом.",True
2025-11-11,ICIS,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,"Заголовок новости напрямую указывает на изменение ставок морского фрахта, что относится к категории ""Логистика"" (фрахт, доставка, порты, цепочки поставок).",True
2025-11-12,Интерфакс,Стабилизация на газовом рынке снижает издержки производителей,Энергоносители,"Заголовок напрямую ссылается на ""газовый рынок"" и ""издержки производителей"", что соответствует категории ""Энергоносители — газ, нефть, электроэнергия, себестоимость производства"". Источником является Интерфакс — надёжное деловое агентство. Хотя новость упоминает производителей (удобрений), первичным предметом является газ как фактор себестоимости. Газ сильнее всего связан с аммиаком и мочевиной, но заголовок не фокусируется на конкретном удобрении, а обсуждает общее снижение издержек за счёт газового рынка.",True
2025-11-13,Reuters,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,"Заголовок новости напрямую связывает рост цен на зерно (агрокультуры) с поддержкой спроса на удобрения. Это соответствует категории 'Спрос/агрорынок', которая включает агрокультуры, фермеров, сезон закупок и спрос на удобрения. Источник (Reuters) надёжен, а масштаб события значителен для рынка удобрений, так как цены на зерно являются ключевым драйвером спроса. Связь с ценами urea/dap/mop опосредованная через спрос, но прямая по категории.",True
2025-11-18,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,"Заголовок прямо указывает на нарушение цепочек поставок и рост стоимости контейнеров. Это относится к категории 'Логистика', которая включает фрахт, доставку, порты, контейнеры и цепочки поставок. Хотя косвенно это может повлиять на другие категории (например, на цены MOP, DAP или мочевины через удорожание доставки), основное содержание новости — логистический сбой. Источник CRU является надежным отраслевым источником.",True
