date,source,headline,product,true_dir,pred_dir,true_days,pred_days
2024-07-24,Argus,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",dap,flat,flat,2,0
2024-07-24,Argus,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",mop,flat,flat,1,0
2024-07-24,Интерфакс,Локдауны бьют по логистике и спросу на удобрения,urea,down,down,1,1
2024-07-24,Интерфакс,Локдауны бьют по логистике и спросу на удобрения,dap,flat,down,2,1
2024-07-24,Интерфакс,Локдауны бьют по логистике и спросу на удобрения,mop,flat,down,1,2
2024-08-01,Профильный телеграм-канал,DAP дешевеет из-за слабого спроса в Индии,urea,up,down,1,1
2024-08-01,Профильный телеграм-канал,DAP дешевеет из-за слабого спроса в Индии,dap,flat,down,1,3
2024-08-01,Профильный телеграм-канал,DAP дешевеет из-за слабого спроса в Индии,mop,up,down,4,1
2024-08-03,Интерфакс,Нарушение цепочек поставок: контейнеры подорожали в разы,urea,up,down,1,1
2024-08-03,Интерфакс,Нарушение цепочек поставок: контейнеры подорожали в разы,dap,flat,up,1,1
2024-08-03,Интерфакс,Нарушение цепочек поставок: контейнеры подорожали в разы,mop,up,down,4,1
2024-08-14,ICIS,Цены на газ в Европе подскочили до многомесячных максимумов,urea,flat,down,1,1
2024-08-14,ICIS,Цены на газ в Европе подскочили до многомесячных максимумов,dap,down,up,1,1
2024-08-14,ICIS,Цены на газ в Европе подскочили до многомесячных максимумов,mop,up,down,3,1
2024-08-16,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,urea,flat,up,1,1
2024-08-16,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,dap,down,up,1,1
2024-08-16,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,mop,up,down,3,1
2024-09-09,Bloomberg,Дефицит калия на ключевых рынках толкает цены вверх,urea,up,down,2,1
2024-09-09,Bloomberg,Дефицит калия на ключевых рынках толкает цены вверх,dap,down,down,1,1
2024-09-09,Bloomberg,Дефицит калия на ключевых рынках толкает цены вверх,mop,down,up,1,1
2024-09-21,CRU,Экспортные котировки аммиака выросли вслед за газом,urea,down,down,1,2
2024-09-21,CRU,Экспортные котировки аммиака выросли вслед за газом,dap,up,up,1,1
2024-09-21,CRU,Экспортные котировки аммиака выросли вслед за газом,mop,down,down,2,4
2024-10-11,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,urea,up,up,1,1
2024-10-11,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,dap,down,up,1,1
2024-10-11,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,mop,flat,down,2,1
2024-10-18,Коммерсантъ,Цены на DAP растут на фоне крепкого спроса в Южной Азии,urea,down,down,1,2
2024-10-18,Коммерсантъ,Цены на DAP растут на фоне крепкого спроса в Южной Азии,dap,up,down,1,3
2024-10-18,Коммерсантъ,Цены на DAP растут на фоне крепкого спроса в Южной Азии,mop,flat,down,1,3
2024-10-21,CRU,Логистические издержки растут — дорожает доставка удобрений,urea,down,up,1,2
2024-10-21,CRU,Логистические издержки растут — дорожает доставка удобрений,dap,up,up,1,2
2024-10-21,CRU,Логистические издержки растут — дорожает доставка удобрений,mop,flat,up,1,3
2024-10-22,Argus,"Рубль укрепился, ЦБ удержал ставку",urea,up,down,2,1
2024-10-22,Argus,"Рубль укрепился, ЦБ удержал ставку",dap,flat,down,1,1
2024-10-22,Argus,"Рубль укрепился, ЦБ удержал ставку",mop,down,down,1,2
2024-11-09,Reuters,Девальвация рубля повышает экспортную привлекательность удобрений,urea,down,down,2,2
2024-11-09,Reuters,Девальвация рубля повышает экспортную привлекательность удобрений,dap,up,down,1,1
2024-11-09,Reuters,Девальвация рубля повышает экспортную привлекательность удобрений,mop,down,flat,1,0
2024-11-09,Профильный телеграм-канал,Нарушение цепочек поставок: контейнеры подорожали в разы,urea,down,down,2,2
2024-11-09,Профильный телеграм-канал,Нарушение цепочек поставок: контейнеры подорожали в разы,dap,up,up,1,3
2024-11-09,Профильный телеграм-канал,Нарушение цепочек поставок: контейнеры подорожали в разы,mop,down,down,1,2
2024-11-11,Reuters,Фосфатное сырьё дорожает вслед за серой,urea,down,up,2,1
2024-11-11,Reuters,Фосфатное сырьё дорожает вслед за серой,dap,up,down,1,1
2024-11-11,Reuters,Фосфатное сырьё дорожает вслед за серой,mop,down,up,1,1
2024-11-19,Reuters,Котировки аммиака пошли вниз на фоне слабого спроса,urea,flat,flat,1,0
2024-11-19,Reuters,Котировки аммиака пошли вниз на фоне слабого спроса,dap,up,flat,1,0
2024-11-19,Reuters,Котировки аммиака пошли вниз на фоне слабого спроса,mop,down,flat,2,0
2024-11-21,Reuters,Рубль резко ослаб к доллару,urea,flat,flat,1,0
2024-11-21,Reuters,Рубль резко ослаб к доллару,dap,up,up,1,1
2024-11-21,Reuters,Рубль резко ослаб к доллару,mop,down,down,2,1
2024-11-28,Bloomberg,"Ставки фрахта снижаются, логистика дешевеет",urea,down,up,1,1
2024-11-28,Bloomberg,"Ставки фрахта снижаются, логистика дешевеет",dap,down,up,1,2
2024-11-28,Bloomberg,"Ставки фрахта снижаются, логистика дешевеет",mop,down,up,1,1
2024-12-10,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,urea,flat,up,2,1
2024-12-10,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,dap,down,down,1,1
2024-12-10,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,mop,up,up,1,1
2025-01-13,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,urea,up,up,1,2
2025-01-13,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,dap,down,up,2,1
2025-01-13,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,mop,flat,up,1,1
2025-01-17,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,urea,flat,down,1,1
2025-01-17,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,dap,down,up,1,1
2025-01-17,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,mop,up,flat,2,0
2025-01-27,CRU,"Ставки фрахта снижаются, логистика дешевеет",urea,down,down,2,3
2025-01-27,CRU,"Ставки фрахта снижаются, логистика дешевеет",dap,flat,down,1,4
2025-01-27,CRU,"Ставки фрахта снижаются, логистика дешевеет",mop,up,up,1,1
2025-02-15,Bloomberg,Рост цен на зерно поддерживает спрос на удобрения,urea,up,down,1,1
2025-02-15,Bloomberg,Рост цен на зерно поддерживает спрос на удобрения,dap,down,up,2,1
2025-02-15,Bloomberg,Рост цен на зерно поддерживает спрос на удобрения,mop,down,down,3,1
2025-02-21,Коммерсантъ,Новые контракты по калию заключены ниже рынка,urea,down,down,1,2
2025-02-21,Коммерсантъ,Новые контракты по калию заключены ниже рынка,dap,down,down,1,2
2025-02-21,Коммерсантъ,Новые контракты по калию заключены ниже рынка,mop,down,down,2,3
2025-03-10,CRU,"Рубль укрепился, ЦБ удержал ставку",urea,flat,down,1,1
2025-03-10,CRU,"Рубль укрепился, ЦБ удержал ставку",dap,up,down,4,1
2025-03-10,CRU,"Рубль укрепился, ЦБ удержал ставку",mop,up,up,4,2
2025-03-22,CRU,Девальвация рубля повышает экспортную привлекательность удобрений,urea,flat,flat,1,0
2025-03-22,CRU,Девальвация рубля повышает экспортную привлекательность удобрений,dap,up,flat,2,0
2025-03-22,CRU,Девальвация рубля повышает экспортную привлекательность удобрений,mop,up,flat,2,0
2025-04-01,Reuters,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,urea,flat,up,1,1
2025-04-01,Reuters,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,dap,down,up,1,4
2025-04-01,Reuters,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,mop,down,up,3,1
2025-04-10,Профильный телеграм-канал,Логистические издержки растут — дорожает доставка удобрений,urea,down,flat,1,0
2025-04-10,Профильный телеграм-канал,Логистические издержки растут — дорожает доставка удобрений,dap,up,flat,1,0
2025-04-10,Профильный телеграм-канал,Логистические издержки растут — дорожает доставка удобрений,mop,down,flat,2,0
2025-04-12,ICIS,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,urea,down,up,1,1
2025-04-12,ICIS,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,dap,up,down,1,1
2025-04-12,ICIS,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,mop,down,up,2,1
2025-04-22,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,urea,up,up,1,2
2025-04-22,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,dap,down,up,1,1
2025-04-22,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,mop,up,up,1,1
2025-05-10,Коммерсантъ,Новые контракты по калию заключены ниже рынка,urea,up,down,1,2
2025-05-10,Коммерсантъ,Новые контракты по калию заключены ниже рынка,dap,up,down,1,2
2025-05-10,Коммерсантъ,Новые контракты по калию заключены ниже рынка,mop,up,down,1,3
2025-05-14,Коммерсантъ,Снижение цен на серу тянет вниз котировки фосфатных удобрений,urea,down,down,1,1
2025-05-14,Коммерсантъ,Снижение цен на серу тянет вниз котировки фосфатных удобрений,dap,flat,down,2,1
2025-05-14,Коммерсантъ,Снижение цен на серу тянет вниз котировки фосфатных удобрений,mop,down,up,1,1
2025-05-15,CRU,Газ дешевеет вторую неделю подряд,urea,down,flat,1,0
2025-05-15,CRU,Газ дешевеет вторую неделю подряд,dap,flat,flat,2,0
2025-05-15,CRU,Газ дешевеет вторую неделю подряд,mop,down,flat,1,0
2025-05-15,ICIS,Фермеры откладывают закупки удобрений,urea,down,down,1,2
2025-05-15,ICIS,Фермеры откладывают закупки удобрений,dap,flat,up,2,1
2025-05-15,ICIS,Фермеры откладывают закупки удобрений,mop,down,down,1,1
2025-05-24,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,urea,up,up,2,4
2025-05-24,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,dap,flat,up,1,1
2025-05-24,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,mop,up,up,3,1
2025-05-26,Профильный телеграм-канал,DAP дешевеет из-за слабого спроса в Индии,urea,up,down,2,1
2025-05-26,Профильный телеграм-канал,DAP дешевеет из-за слабого спроса в Индии,dap,flat,down,1,3
2025-05-26,Профильный телеграм-канал,DAP дешевеет из-за слабого спроса в Индии,mop,up,down,3,1
2025-05-30,Интерфакс,"Поставки калия восстанавливаются, цены MOP снижаются",urea,up,up,1,1
2025-05-30,Интерфакс,"Поставки калия восстанавливаются, цены MOP снижаются",dap,down,down,2,1
2025-05-30,Интерфакс,"Поставки калия восстанавливаются, цены MOP снижаются",mop,up,down,2,1
2025-06-23,Интерфакс,DAP дешевеет из-за слабого спроса в Индии,urea,flat,up,1,1
2025-06-23,Интерфакс,DAP дешевеет из-за слабого спроса в Индии,dap,down,down,1,1
2025-06-23,Интерфакс,DAP дешевеет из-за слабого спроса в Индии,mop,down,down,1,1
2025-07-11,Профильный телеграм-канал,Фермеры откладывают закупки удобрений,urea,down,down,1,4
2025-07-11,Профильный телеграм-канал,Фермеры откладывают закупки удобрений,dap,down,down,2,2
2025-07-11,Профильный телеграм-канал,Фермеры откладывают закупки удобрений,mop,down,up,2,2
2025-07-14,Argus,Падение цен на зерно ослабляет спрос на удобрения,urea,down,down,1,2
2025-07-14,Argus,Падение цен на зерно ослабляет спрос на удобрения,dap,down,up,2,1
2025-07-14,Argus,Падение цен на зерно ослабляет спрос на удобрения,mop,down,up,2,2
2025-07-28,Профильный телеграм-канал,"Поставки калия восстанавливаются, цены MOP снижаются",urea,up,up,2,1
2025-07-28,Профильный телеграм-канал,"Поставки калия восстанавливаются, цены MOP снижаются",dap,up,down,1,1
2025-07-28,Профильный телеграм-канал,"Поставки калия восстанавливаются, цены MOP снижаются",mop,up,down,2,1
2025-08-04,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,urea,up,down,1,4
2025-08-04,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,dap,flat,down,1,2
2025-08-04,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,mop,up,up,1,1
2025-08-12,ICIS,Ставки морского фрахта взлетели из-за перегрузки портов,urea,down,down,1,1
2025-08-12,ICIS,Ставки морского фрахта взлетели из-за перегрузки портов,dap,down,up,1,3
2025-08-12,ICIS,Ставки морского фрахта взлетели из-за перегрузки портов,mop,down,up,1,1
2025-08-13,Argus,Падение цен на зерно ослабляет спрос на удобрения,urea,down,down,1,2
2025-08-13,Argus,Падение цен на зерно ослабляет спрос на удобрения,dap,down,up,1,1
2025-08-13,Argus,Падение цен на зерно ослабляет спрос на удобрения,mop,down,up,1,2
2025-08-16,Reuters,Экспортные котировки аммиака выросли вслед за газом,urea,down,down,1,1
2025-08-16,Reuters,Экспортные котировки аммиака выросли вслед за газом,dap,down,down,1,1
2025-08-16,Reuters,Экспортные котировки аммиака выросли вслед за газом,mop,down,up,1,1
2025-08-29,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,urea,up,down,2,1
2025-08-29,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,dap,down,down,1,1
2025-08-29,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,mop,up,flat,1,0
2025-09-09,Reuters,Дефицит калия на ключевых рынках толкает цены вверх,urea,down,down,1,1
2025-09-09,Reuters,Дефицит калия на ключевых рынках толкает цены вверх,dap,up,down,1,1
2025-09-09,Reuters,Дефицит калия на ключевых рынках толкает цены вверх,mop,up,up,1,1
2025-09-10,Интерфакс,Запуск простаивавших мощностей давит на цены аммиака,urea,down,up,1,2
2025-09-10,Интерфакс,Запуск простаивавших мощностей давит на цены аммиака,dap,up,down,1,3
2025-09-10,Интерфакс,Запуск простаивавших мощностей давит на цены аммиака,mop,up,down,1,2
2025-10-09,Reuters,Стабилизация на газовом рынке снижает издержки производителей,urea,down,down,1,2
2025-10-09,Reuters,Стабилизация на газовом рынке снижает издержки производителей,dap,down,down,1,2
2025-10-09,Reuters,Стабилизация на газовом рынке снижает издержки производителей,mop,flat,flat,1,0
2025-10-10,ICIS,Экспортные котировки аммиака выросли вслед за газом,urea,down,down,1,2
2025-10-10,ICIS,Экспортные котировки аммиака выросли вслед за газом,dap,down,down,1,2
2025-10-10,ICIS,Экспортные котировки аммиака выросли вслед за газом,mop,flat,down,1,1
2025-10-21,ICIS,Рубль резко ослаб к доллару,urea,down,up,1,1
2025-10-21,ICIS,Рубль резко ослаб к доллару,dap,up,down,1,4
2025-10-21,ICIS,Рубль резко ослаб к доллару,mop,up,down,1,1
2025-10-27,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,urea,down,up,1,1
2025-10-27,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,dap,up,up,1,1
2025-10-27,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,mop,up,down,1,1
2025-10-31,Reuters,Стабилизация рубля снижает экспортные премии,urea,flat,up,2,1
2025-10-31,Reuters,Стабилизация рубля снижает экспортные премии,dap,down,up,1,1
2025-10-31,Reuters,Стабилизация рубля снижает экспортные премии,mop,down,down,1,1
2025-11-11,ICIS,Ставки морского фрахта взлетели из-за перегрузки портов,urea,up,down,1,1
2025-11-11,ICIS,Ставки морского фрахта взлетели из-за перегрузки портов,dap,up,up,1,3
2025-11-11,ICIS,Ставки морского фрахта взлетели из-за перегрузки портов,mop,up,up,1,1
2025-11-12,Интерфакс,Стабилизация на газовом рынке снижает издержки производителей,urea,up,down,1,1
2025-11-12,Интерфакс,Стабилизация на газовом рынке снижает издержки производителей,dap,up,up,1,2
2025-11-12,Интерфакс,Стабилизация на газовом рынке снижает издержки производителей,mop,up,up,1,1
2025-11-13,Reuters,Рост цен на зерно поддерживает спрос на удобрения,urea,up,flat,1,0
2025-11-13,Reuters,Рост цен на зерно поддерживает спрос на удобрения,dap,up,flat,1,0
2025-11-13,Reuters,Рост цен на зерно поддерживает спрос на удобрения,mop,up,flat,1,0
2025-11-18,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,urea,flat,down,1,1
2025-11-18,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,dap,down,up,1,1
2025-11-18,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,mop,flat,flat,1,0
2025-11-25,CRU,"Поставки хлористого калия сорваны, цены MOP идут вверх",urea,up,down,1,1
2025-11-25,CRU,"Поставки хлористого калия сорваны, цены MOP идут вверх",dap,flat,down,1,2
2025-11-25,CRU,"Поставки хлористого калия сорваны, цены MOP идут вверх",mop,down,down,1,2
2025-12-02,Профильный телеграм-канал,"Поставки хлористого калия сорваны, цены MOP идут вверх",urea,down,flat,1,0
2025-12-02,Профильный телеграм-канал,"Поставки хлористого калия сорваны, цены MOP идут вверх",dap,up,flat,1,0
2025-12-02,Профильный телеграм-канал,"Поставки хлористого калия сорваны, цены MOP идут вверх",mop,flat,flat,1,0
2025-12-06,CRU,Котировки аммиака пошли вниз на фоне слабого спроса,urea,down,down,1,3
2025-12-06,CRU,Котировки аммиака пошли вниз на фоне слабого спроса,dap,up,down,1,4
2025-12-06,CRU,Котировки аммиака пошли вниз на фоне слабого спроса,mop,flat,up,1,2
2025-12-19,ICIS,Запуск простаивавших мощностей давит на цены аммиака,urea,down,down,1,1
2025-12-19,ICIS,Запуск простаивавших мощностей давит на цены аммиака,dap,flat,up,1,3
2025-12-19,ICIS,Запуск простаивавших мощностей давит на цены аммиака,mop,flat,down,2,1
2025-12-27,Интерфакс,Цены на газ в Европе подскочили до многомесячных максимумов,urea,up,down,1,2
2025-12-27,Интерфакс,Цены на газ в Европе подскочили до многомесячных максимумов,dap,down,up,1,3
2025-12-27,Интерфакс,Цены на газ в Европе подскочили до многомесячных максимумов,mop,flat,down,1,2
2026-01-14,CRU,Стабилизация рубля снижает экспортные премии,urea,up,up,1,2
2026-01-14,CRU,Стабилизация рубля снижает экспортные премии,dap,down,down,1,1
2026-01-14,CRU,Стабилизация рубля снижает экспортные премии,mop,up,up,2,2
2026-01-27,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,urea,up,up,2,4
2026-01-27,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,dap,down,down,1,1
2026-01-27,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,mop,flat,down,1,2
2026-01-31,Интерфакс,Введены ограничения на экспорт калия — рынок ждёт дефицита,urea,up,up,2,1
2026-01-31,Интерфакс,Введены ограничения на экспорт калия — рынок ждёт дефицита,dap,down,up,1,1
2026-01-31,Интерфакс,Введены ограничения на экспорт калия — рынок ждёт дефицита,mop,flat,up,1,1
2026-01-31,Bloomberg,Стабилизация рубля снижает экспортные премии,urea,up,up,2,1
2026-01-31,Bloomberg,Стабилизация рубля снижает экспортные премии,dap,down,up,1,2
2026-01-31,Bloomberg,Стабилизация рубля снижает экспортные премии,mop,flat,down,1,1
2026-02-06,Bloomberg,Снижение цен на серу тянет вниз котировки фосфатных удобрений,urea,up,flat,1,0
2026-02-06,Bloomberg,Снижение цен на серу тянет вниз котировки фосфатных удобрений,dap,flat,down,3,1
2026-02-06,Bloomberg,Снижение цен на серу тянет вниз котировки фосфатных удобрений,mop,down,up,1,2
2026-02-07,Интерфакс,"Ставки фрахта снижаются, логистика дешевеет",urea,up,up,1,1
2026-02-07,Интерфакс,"Ставки фрахта снижаются, логистика дешевеет",dap,flat,up,3,2
2026-02-07,Интерфакс,"Ставки фрахта снижаются, логистика дешевеет",mop,down,up,1,1
2026-02-14,CRU,DAP дешевеет из-за слабого спроса в Индии,urea,down,flat,2,0
2026-02-14,CRU,DAP дешевеет из-за слабого спроса в Индии,dap,flat,down,2,1
2026-02-14,CRU,DAP дешевеет из-за слабого спроса в Индии,mop,up,flat,2,0
2026-02-17,Коммерсантъ,Экспортные котировки аммиака выросли вслед за газом,urea,down,down,1,1
2026-02-17,Коммерсантъ,Экспортные котировки аммиака выросли вслед за газом,dap,flat,down,1,1
2026-02-17,Коммерсантъ,Экспортные котировки аммиака выросли вслед за газом,mop,up,up,1,1
2026-02-20,Bloomberg,Снижение цен на серу тянет вниз котировки фосфатных удобрений,urea,down,flat,1,0
2026-02-20,Bloomberg,Снижение цен на серу тянет вниз котировки фосфатных удобрений,dap,flat,down,1,1
2026-02-20,Bloomberg,Снижение цен на серу тянет вниз котировки фосфатных удобрений,mop,up,up,1,2
2026-03-11,Интерфакс,Новые контракты по калию заключены ниже рынка,urea,up,flat,2,0
2026-03-11,Интерфакс,Новые контракты по калию заключены ниже рынка,dap,flat,flat,1,0
2026-03-11,Интерфакс,Новые контракты по калию заключены ниже рынка,mop,down,flat,1,0
2026-03-30,Reuters,"Рубль укрепился, ЦБ удержал ставку",urea,down,up,2,1
2026-03-30,Reuters,"Рубль укрепился, ЦБ удержал ставку",dap,up,flat,1,0
2026-03-30,Reuters,"Рубль укрепился, ЦБ удержал ставку",mop,up,flat,2,0
2026-04-10,Reuters,"Поставки хлористого калия сорваны, цены MOP идут вверх",urea,up,down,2,2
2026-04-10,Reuters,"Поставки хлористого калия сорваны, цены MOP идут вверх",dap,flat,up,2,3
2026-04-10,Reuters,"Поставки хлористого калия сорваны, цены MOP идут вверх",mop,down,down,1,3
2026-04-20,Bloomberg,Запуск простаивавших мощностей давит на цены аммиака,urea,up,down,1,4
2026-04-20,Bloomberg,Запуск простаивавших мощностей давит на цены аммиака,dap,flat,down,1,2
2026-04-20,Bloomberg,Запуск простаивавших мощностей давит на цены аммиака,mop,flat,up,1,3
2026-05-07,Reuters,Котировки аммиака пошли вниз на фоне слабого спроса,urea,down,flat,2,0
2026-05-07,Reuters,Котировки аммиака пошли вниз на фоне слабого спроса,dap,flat,flat,2,0
2026-05-07,Reuters,Котировки аммиака пошли вниз на фоне слабого спроса,mop,flat,flat,1,0
2026-05-13,ICIS,Фермеры откладывают закупки удобрений,urea,down,down,1,2
2026-05-13,ICIS,Фермеры откладывают закупки удобрений,dap,flat,up,1,1
2026-05-13,ICIS,Фермеры откладывают закупки удобрений,mop,down,down,2,1
2026-05-15,Профильный телеграм-канал,Рубль резко ослаб к доллару,urea,down,down,1,1
2026-05-15,Профильный телеграм-канал,Рубль резко ослаб к доллару,dap,flat,down,1,1
2026-05-15,Профильный телеграм-канал,Рубль резко ослаб к доллару,mop,down,down,2,2
2026-05-16,Интерфакс,Экспортные котировки аммиака выросли вслед за газом,urea,down,up,1,1
2026-05-16,Интерфакс,Экспортные котировки аммиака выросли вслед за газом,dap,flat,down,1,1
2026-05-16,Интерфакс,Экспортные котировки аммиака выросли вслед за газом,mop,down,down,2,1
2026-07-01,Интерфакс,Фосфатное сырьё дорожает вслед за серой,urea,flat,up,0,2
2026-07-01,Интерфакс,Фосфатное сырьё дорожает вслед за серой,dap,flat,up,0,2
2026-07-01,Интерфакс,Фосфатное сырьё дорожает вслед за серой,mop,flat,up,0,2
